Nombre,Club,Minutos,Goles,Asistencias,Amarillas,Rojas
Ivan Ramis,Eibar,457,1,0,1,0
Adrian Ramos,Granada,226,0,0,0,0
Sergio Ramos,Real Madrid,3013,11,0,10,0
Raul,Betis,19,0,0,0,0
Recio,Leganes,1570,0,0,11,0
Sergio Reguilon,Sevilla,2509,2,4,8,0
Manolo Reina,Mallorca,3240,0,0,4,0
Alex Remiro,Real Sociedad,2250,0,0,0,0
Nico Ribaudo,Espanyol,182,0,0,1,0
Luis Rioja,Alaves,1634,0,0,3,0
Rodrigo Riquelme,Atletico Madrid,13,0,0,0,0
Cristian Rivera,Leganes,311,0,0,3,0
Rober,Levante,191,0,0,0,0
Roberto,Alaves,790,0,0,1,0
Sergi Roberto,Barcelona,2339,1,2,8,0
Joel Robles,Betis,2887,0,0,3,1
Marc Roca,Espanyol,3008,2,1,8,0
Ruben Rochina,Levante,1875,5,3,5,0
Rodrigo,Valencia,1880,4,7,2,1
Kevin Rodrigues,Real Sociedad,6,0,0,0,0
Kevin Rodrigues,Leganes,1931,1,2,6,1
Oscar Rodriguez Arnaiz,Leganes,1914,9,2,6,1
Angel Rodriguez,Getafe,1407,10,3,6,0
Dani Rodriguez,Mallorca,3039,5,2,7,0
Guido Rodriguez,Betis,936,1,0,5,0
James Rodriguez,Real Madrid,419,1,1,1,0
Mario Rodriguez,Granada,2,0,0,0,0
Rodrygo,Real Madrid,1019,2,0,0,0
Luka Romero,Mallorca,8,0,0,0,0
Facundo Roncaglia,Osasuna,1277,1,0,4,2
Roberto Rosales,Leganes,1871,0,1,7,0
Ruben,Osasuna,1583,0,0,0,0
Waldo Rubio,Valladolid,878,0,2,6,0
Aitor Ruibal,Leganes,1220,0,0,4,0
Jorge Saenz,Celta Vigo,371,0,0,3,1
Borja Sainz,Alaves,573,1,0,1,0
Yannis Salibur,Mallorca,82,0,0,0,0
Mohammed Salisu,Valladolid,2725,1,1,4,0
Fede San Emeterio,Valladolid,1751,0,0,4,0
Mikel San Jose,Athletic Club,359,0,0,3,0
Oihan Sancet,Athletic Club,741,1,1,1,0
German Sanchez,Granada,2293,2,0,12,1
Javi Sanchez,Valladolid,497,0,1,1,0
Manuel Sanchez,Atletico Madrid,325,0,0,1,0
Victor Sanchez,Espanyol,1688,0,1,11,1
Luca Sangalli,Real Sociedad,372,0,1,0,0
Oier Sanjurjo,Osasuna,2320,2,1,15,1
Ivan Saponjic,Atletico Madrid,6,0,0,0,0
Joan Sastre Vanrell,Mallorca,1360,0,2,4,0
Stefan Savic,Atletico Madrid,1980,0,0,6,0
Aleksandar Sedlar,Mallorca,814,0,0,3,1
Nelson Semedo,Barcelona,2097,1,2,2,0
Josep Senhe,Mallorca,150,0,0,0,0
Salva Sevilla,Mallorca,2568,5,3,10,1
Sidnei,Betis,1175,1,0,1,0
Jonathan Silva,Leganes,2785,1,2,13,1
Rui Silva,Granada,3150,0,0,3,0
Unai Simon,Athletic Club,2991,0,0,2,1
Dimitris Siovas,Leganes,1918,0,0,7,0
Pione Sisto,Celta Vigo,891,2,0,2,0
Antonio Sivera,Alaves,270,0,0,1,0
Fyodor Smolov,Celta Vigo,743,2,0,4,0
Rafa Soares,Eibar,435,0,0,1,0
Ruben Sobrino,Valencia,170,1,0,0,0
Roberto Soldado,Granada,2347,7,4,14,0
Carlos Soler,Valencia,2066,2,0,4,0
Kevin Soni,Espanyol,4,0,0,0,0
David Soria,Getafe,3420,0,0,2,0
Bruno Soriano,Villarreal,263,0,0,1,0
Juan Soriano,Leganes,990,0,0,2,0
Damian Suarez,Getafe,2592,1,4,15,0
Denis Suarez,Celta Vigo,1630,1,5,2,0
Luis Suarez,Barcelona,1998,16,8,4,0
Ki Sung-yueng,Mallorca,9,0,0,0,0
Suso,Sevilla,785,1,1,0,0
Tachi,Alaves,238,0,0,1,0
Rodrigo Tarin,Leganes,951,0,0,1,0
Alvaro Tejero,Eibar,1447,0,0,4,0
Cristian Tello,Betis,787,2,0,1,0
Marc-Andre ter Stegen,Barcelona,3240,0,2,1,0
David Timor,Getafe,943,3,0,4,0
Jean-Clair Todibo,Barcelona,77,0,0,0,0
Karl Toko Ekambi,Villarreal,993,6,2,0,0
Raul de Tomas,Espanyol,1075,4,0,5,0
Tonho,Levante,1589,0,2,2,0
Ferran Torres,Valencia,2251,4,5,5,0
Oliver Torres,Sevilla,1596,3,3,5,0
Pau Torres,Villarreal,2971,2,1,6,0
Roberto Torres,Osasuna,2717,7,8,1,0
Aleksandar Trajkovski,Mallorca,330,0,0,0,0
Manu Trigueros,Villarreal,1547,2,4,6,0
Kieran Trippier,Atletico Madrid,1979,0,4,2,0
Samuel Umtiti,Barcelona,949,0,0,6,0
Enes Unal,Valladolid,2344,6,2,4,0
Tomas Vaclik,Sevilla,2925,0,0,0,0
Alvaro Vadillo,Granada,1218,3,1,0,0
German Valera,Atletico Madrid,4,0,0,0,0
Martin Valjent,Mallorca,3182,0,0,6,0
Jesus Vallejo,Granada,629,0,0,1,0
Manu Vallejo,Valencia,418,2,0,0,0
Federico Valverde,Real Madrid,1907,2,5,1,0
Raphael Varane,Real Madrid,2822,3,1,2,0
Matias Vargas,Espanyol,1024,0,3,1,0
Franco Vazquez,Sevilla,1098,3,0,5,0
Kevin Vazquez,Celta Vigo,1325,0,0,6,0
Lucas Vazquez,Real Madrid,848,2,1,1,0
Koke Vegas,Levante,180,0,0,0,0
Unai Vencedor Paris,Athletic Club,73,0,0,1,0
Mikel Vesga,Athletic Club,1269,0,1,3,0
Ruben Vezo,Levante,2610,0,0,4,0
Fede Vico,Granada,876,2,1,1,0
Aleix Vidal,Alaves,2165,2,4,6,0
Arturo Vidal,Barcelona,1671,8,2,4,0
